pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4gxu	M	N	0	A	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	09/04/12	Crystal structure of antibody 1F1 bound to the 1918 influenza hemagglutinin	HOMO SAPIENS; INFLUENZA A VIRUS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	3.294	X-RAY DIFFRACTION	0.255	0.219	False	True	IGHV3	IGLV1	Lambda	6.24e-09	NA	SPR	NA	23236279
4gxu	W	X	0	K	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	09/04/12	Crystal structure of antibody 1F1 bound to the 1918 influenza hemagglutinin	HOMO SAPIENS; INFLUENZA A VIRUS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	3.294	X-RAY DIFFRACTION	0.255	0.219	False	True	IGHV3	IGLV1	Lambda	6.24e-09	NA	SPR	NA	23236279
4gxu	U	V	0	I	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	09/04/12	Crystal structure of antibody 1F1 bound to the 1918 influenza hemagglutinin	HOMO SAPIENS; INFLUENZA A VIRUS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	3.294	X-RAY DIFFRACTION	0.255	0.219	False	True	IGHV3	IGLV1	Lambda	6.24e-09	NA	SPR	NA	23236279
4gxu	S	T	0	G	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	09/04/12	Crystal structure of antibody 1F1 bound to the 1918 influenza hemagglutinin	HOMO SAPIENS; INFLUENZA A VIRUS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	3.294	X-RAY DIFFRACTION	0.255	0.219	False	True	IGHV3	IGLV1	Lambda	6.24e-09	NA	SPR	NA	23236279
4gxu	O	P	0	C	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	09/04/12	Crystal structure of antibody 1F1 bound to the 1918 influenza hemagglutinin	HOMO SAPIENS; INFLUENZA A VIRUS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	3.294	X-RAY DIFFRACTION	0.255	0.219	False	True	IGHV3	IGLV1	Lambda	6.24e-09	NA	SPR	NA	23236279
4gxu	Q	R	0	E	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	09/04/12	Crystal structure of antibody 1F1 bound to the 1918 influenza hemagglutinin	HOMO SAPIENS; INFLUENZA A VIRUS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	3.294	X-RAY DIFFRACTION	0.255	0.219	False	True	IGHV3	IGLV1	Lambda	6.24e-09	NA	SPR	NA	23236279
3uzq	A	A	0	B	protein	NA	envelope protein	IMMUNE SYSTEM	12/07/11	Crystal structure of the dengue virus serotype 1 envelope protein domain III in complex with the variable domains of Mab 4E11	MUS MUSCULUS; DENGUE VIRUS 1	mus musculus	NA	dengue virus 1	Cockburn, J.J.B., Navarro Sanchez, M.E., Fretes, N., Urvoas, A., Staropoli, I., Kikuti, C.M., Coffey, L.L., Arenzana Seisdedos, F., Bedouelle, H., Rey, F.A.	1.6	X-RAY DIFFRACTION	0.188	0.17600000000000002	True	True	unknown	unknown	unknown	8.200000000000001e-11	-13.760019836577097	ELISA	NA	TBD
3uze	A	A	0	C	protein	NA	envelope protein	IMMUNE SYSTEM	12/07/11	Crystal structure of the dengue virus serotype 3 envelope protein domain III in complex with the variable domains of Mab 4E11	MUS MUSCULUS; DENGUE VIRUS 3	mus musculus	NA	dengue virus 3	Cockburn, J.J.B., Navarro Sanchez, M.E., Fretes, N., Urvoas, A., Staropoli, I., Kikuti, C.M., Coffey, L.L., Arenzana Seisdedos, F., Bedouelle, H., Rey, F.A.	2.04	X-RAY DIFFRACTION	0.234	0.218	True	True	unknown	unknown	unknown	8e-09	-11.046161627732946	ELISA	NA	TBD
3uze	B	B	0	D	protein	NA	envelope protein	IMMUNE SYSTEM	12/07/11	Crystal structure of the dengue virus serotype 3 envelope protein domain III in complex with the variable domains of Mab 4E11	MUS MUSCULUS; DENGUE VIRUS 3	mus musculus	NA	dengue virus 3	Cockburn, J.J.B., Navarro Sanchez, M.E., Fretes, N., Urvoas, A., Staropoli, I., Kikuti, C.M., Coffey, L.L., Arenzana Seisdedos, F., Bedouelle, H., Rey, F.A.	2.04	X-RAY DIFFRACTION	0.234	0.218	True	True	unknown	unknown	unknown	8e-09	-11.046161627732946	ELISA	NA	TBD
4jpk	H	L	0	A	protein	NA	germline-targeting hiv-1 gp120 engineered outer domain,eod-gt6 	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/13	Crystal structure of the germline-targeting HIV-1 gp120 engineered outer domain eOD-GT6 in complex with a putative VRC01 germline precursor Fab	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	NA	NA	human immunodeficiency virus 1	Julien, J.-P., Jardine, J., Schief, W.R., Wilson, I.A.	2.4	X-RAY DIFFRACTION	0.263	0.2	False	True	IGHV1	IGKV3	Kappa	4.4000000000000004e-08	-10.036126204570545	SPR	NA	TBD
4aei	H	L	0	A	protein	NA	alpha-mammal toxin aah2	IMMUNE SYSTEM/TOXIN	01/10/12	Crystal structure of the AaHII-Fab4C1 complex	ANDROCTONUS AUSTRALIS HECTOR; MUS MUSCULUS	mus musculus	mus musculus	androctonus australis hector	Fabrichny, I.P., Mondielli, G., Conrod, S., Martin-Eauclaire, M.F., Bourne, Y., Marchot, P.	2.3	X-RAY DIFFRACTION	0.25403000000000003	0.19862	False	False	IGHV5	IGKV1	Kappa	8.000000000000001e-10	-12.410405717143199	Unknown	NA	TBD
4aei	I	M	0	B	protein	NA	alpha-mammal toxin aah2	IMMUNE SYSTEM/TOXIN	01/10/12	Crystal structure of the AaHII-Fab4C1 complex	ANDROCTONUS AUSTRALIS HECTOR; MUS MUSCULUS	mus musculus	mus musculus	androctonus australis hector	Fabrichny, I.P., Mondielli, G., Conrod, S., Martin-Eauclaire, M.F., Bourne, Y., Marchot, P.	2.3	X-RAY DIFFRACTION	0.25403000000000003	0.19862	False	False	IGHV5	IGKV1	Kappa	8.000000000000001e-10	-12.410405717143199	Unknown	NA	TBD
4aei	J	N	0	C	protein	NA	alpha-mammal toxin aah2	IMMUNE SYSTEM/TOXIN	01/10/12	Crystal structure of the AaHII-Fab4C1 complex	ANDROCTONUS AUSTRALIS HECTOR; MUS MUSCULUS	mus musculus	mus musculus	androctonus australis hector	Fabrichny, I.P., Mondielli, G., Conrod, S., Martin-Eauclaire, M.F., Bourne, Y., Marchot, P.	2.3	X-RAY DIFFRACTION	0.25403000000000003	0.19862	False	False	IGHV5	IGKV1	Kappa	8.000000000000001e-10	-12.410405717143199	Unknown	NA	TBD
4idj	H	L	0	A	protein	NA	alpha-hemolysin	IMMUNE SYSTEM	12/12/12	S.Aureus a-hemolysin monomer in complex with Fab	STAPHYLOCOCCUS AUREUS; HOMO SAPIENS	homo sapiens	homo sapiens	staphylococcus aureus	Strop, P.	3.36	X-RAY DIFFRACTION	0.29600000000000004	0.249	False	True	IGHV1	IGKV3	Kappa	1.6999999999999998e-12	-16.056540494021775	Unknown	NA	TBD
1dqj	B	A	0	C	protein	NA	lysozyme	immune system/hydrolase	01/04/00	CRYSTAL STRUCTURE OF THE ANTI-LYSOZYME ANTIBODY HYHEL-63 COMPLEXED WITH HEN EGG WHITE LYSOZYME	MUS MUSCULUS; GALLUS GALLUS	mus musculus	mus musculus	gallus gallus	Li, H., Mariuzza, R.A.	2.0	X-RAY DIFFRACTION	0.25	0.217	False	True	IGHV3	IGKV5	Kappa	2.86e-09	-11.45	SPR	25	10828942
5jq6	H	L	0	A	protein	NA	clumping factor a	IMMUNE SYSTEM	05/04/16	Crystal structure of ClfA in complex with the Fab fragment of Tefibazumab	MUS MUSCULUS, HOMO SAPIENS; STAPHYLOCOCCUS AUREUS	mus musculus, homo sapiens	mus musculus, homo sapiens	staphylococcus aureus	Ganesh, V.K.	2.4	X-RAY DIFFRACTION	0.259	0.20800000000000002	False	True	IGHV2	IGKV8	Kappa	7.900000000000001e-10	-12.41785844031504	SPR	NA	TBD
4eig	B	NA	0	A	protein	NA	dihydrofolate reductase	OXIDOREDUCTASE/IMMUNE SYSTEM	04/05/12	CA1698 camel antibody fragment in complex with DHFR	ESCHERICHIA COLI; LAMA GLAMA	lama glama	NA	escherichia coli	Oyen, D., Srinivasan, V.	2.5	X-RAY DIFFRACTION	0.22	0.172	False	True	IGHV1	NA	NA	1e-09	-12.27819680469229	SPR	NA	TBD
4eiz	C	NA	0	B	protein	NA	dihydrofolate reductase	OXIDOREDUCTASE/IMMUNE SYSTEM	04/06/12	Structure of Nb113 bound to apoDHFR	ESCHERICHIA COLI; LAMA GLAMA	lama glama	NA	escherichia coli	Oyen, D., Srinivasan, V.	2.2	X-RAY DIFFRACTION	0.224	0.171	False	True	IGHV1	NA	NA	3.0000000000000004e-09	-11.627286953008985	SPR	NA	TBD
4eiz	D	NA	0	A	protein	NA	dihydrofolate reductase	OXIDOREDUCTASE/IMMUNE SYSTEM	04/06/12	Structure of Nb113 bound to apoDHFR	ESCHERICHIA COLI; LAMA GLAMA	lama glama	NA	escherichia coli	Oyen, D., Srinivasan, V.	2.2	X-RAY DIFFRACTION	0.224	0.171	False	True	IGHV1	NA	NA	3.0000000000000004e-09	-11.627286953008985	SPR	NA	TBD
5t6l	A	B	0	G	protein	NA	10e8 epitope scaffold t117v2	IMMUNE SYSTEM	09/01/16	Crystal structure of 10E8 Fab in complex with the MPER epitope scaffold T117v2	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Irimia, A., Wilson, I.A.	2.1	X-RAY DIFFRACTION	0.218	0.17800000000000002	False	True	IGHV3	IGLV3	Lambda	2.85e-11	-14.386165571647554	SPR	NA	TBD
5t6l	H	L	0	I	protein	NA	10e8 epitope scaffold t117v2	IMMUNE SYSTEM	09/01/16	Crystal structure of 10E8 Fab in complex with the MPER epitope scaffold T117v2	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Irimia, A., Wilson, I.A.	2.1	X-RAY DIFFRACTION	0.218	0.17800000000000002	False	True	IGHV3	IGLV3	Lambda	2.85e-11	-14.386165571647554	SPR	NA	TBD
4m1g	H	L	0	B | A	protein | protein	NA | NA	a33r | a33r	IMMUNE SYSTEM	08/02/13	Structure of murine IgG2a A27D7-Fab in complex with vaccinia antigen A33R at the resolution of 1.6 Angstroms	MUS MUSCULUS; VACCINIA VIRUS	mus musculus	mus musculus	vaccinia virus | vaccinia virus	Matho, M.H., Schlossman, A.M., Zajonc, D.M.	1.6	X-RAY DIFFRACTION	0.226	0.201	False	True	IGHV2	IGKV4	Kappa	1.4400000000000002e-08	-10.697907621456812	SPR	NA	TBD
1zv5	A	NA	0	L	protein	NA	lysozyme c	HYDROLASE/IMMUNE SYSTEM	06/01/05	Crystal structure of the variable domain of the camelid heavy-chain antibody D2-L29 in complex with hen egg white lysozyme	CAMELUS DROMEDARIUS; GALLUS GALLUS	camelus dromedarius	NA	gallus gallus	De Genst, E., Silence, K., Decanniere, K., Conrath, K., Loris, R., Kinne, J., Muyldermans, S., Wyns, L.	2.0	X-RAY DIFFRACTION	0.239	0.217	False	True	IGHV1	NA	NA	1.00e-08	-10.91	SPR	NA	16537393
4etq	H	L	0	C	protein	NA	imv membrane protein	IMMUNE SYSTEM/VIRAL PROTEIN	04/24/12	Vaccinia virus D8L IMV envelope protein in complex with Fab of murine IgG2a LA5	MUS MUSCULUS; VACCINIA VIRUS	mus musculus	mus musculus	vaccinia virus	Matho, M.H., Zajonc, D.M.	2.1	X-RAY DIFFRACTION	0.252	0.202	False	True	IGHV1	IGKV4	Kappa	1.8e-10	-13.29418688782641	SPR	NA	TBD
4etq	A	B	0	X	protein	NA	imv membrane protein	IMMUNE SYSTEM/VIRAL PROTEIN	04/24/12	Vaccinia virus D8L IMV envelope protein in complex with Fab of murine IgG2a LA5	MUS MUSCULUS; VACCINIA VIRUS	mus musculus	mus musculus	vaccinia virus	Matho, M.H., Zajonc, D.M.	2.1	X-RAY DIFFRACTION	0.252	0.202	False	True	IGHV1	IGKV4	Kappa	1.8e-10	-13.29418688782641	SPR	NA	TBD
6cmg	C	B	0	A	protein	NA	glycoprotein g	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/18	Crystal Structure of the Hendra Virus Attachment G Glycoprotein Bound to a Potent Cross-Reactive Neutralizing Human Monoclonal Antibody m102.3	HENDRA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	hendra virus	Xu, K., Nikolov, D.	2.7	X-RAY DIFFRACTION	0.275	0.22899999999999998	False	True	IGHV1	IGKV3	Kappa	2.74e-08	-10.316754097318308	SPR	NA	TBD
5nh3	I	M	0	B	protein	NA	activin receptor type-2a	TRANSFERASE	03/21/17	CRYSTAL STRUCTURE OF THE Activin receptor type-2A LIGAND BINDING DOMAIN IN COMPLEX WITH BIMAGRUMAB FV	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Scheufler, C.	2.35	X-RAY DIFFRACTION	0.208	0.166	False	False	IGHV1	IGLV2	Lambda	9.73e-10	-12.294413792096064	Unknown	NA	TBD
5nh3	H	L	0	A	protein	NA	activin receptor type-2a	TRANSFERASE	03/21/17	CRYSTAL STRUCTURE OF THE Activin receptor type-2A LIGAND BINDING DOMAIN IN COMPLEX WITH BIMAGRUMAB FV	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Scheufler, C.	2.35	X-RAY DIFFRACTION	0.208	0.166	False	False	IGHV1	IGLV2	Lambda	9.73e-10	-12.294413792096064	Unknown	NA	TBD
4pgj	A	NA	0	B	protein	NA	lysozyme c	IMMUNE SYSTEM/HYDROLASE	05/02/14	Human heavy-chain domain antibody in complex with hen egg-white lysozyme	HOMO SAPIENS; GALLUS GALLUS	homo sapiens	NA	gallus gallus	Christ, D., Langley, D.B., Rouet, R.	2.6	X-RAY DIFFRACTION	0.287	0.225	False	True	IGHV3	NA	NA	2.6e-08	-10.347827778050062	SPR	NA	TBD
4pgj	C	NA	0	D	protein	NA	lysozyme c	IMMUNE SYSTEM/HYDROLASE	05/02/14	Human heavy-chain domain antibody in complex with hen egg-white lysozyme	HOMO SAPIENS; GALLUS GALLUS	homo sapiens	NA	gallus gallus	Christ, D., Langley, D.B., Rouet, R.	2.6	X-RAY DIFFRACTION	0.287	0.225	False	True	IGHV3	NA	NA	2.6e-08	-10.347827778050062	SPR	NA	TBD
1zvy	A	NA	0	B	protein	NA	lysozyme c	HYDROLASE/IMMUNE SYSTEM	06/03/05	Crystal structure of the VHH D3-L11 in complex with hen egg white lysozyme	CAMELUS DROMEDARIUS; GALLUS GALLUS	camelus dromedarius	NA	gallus gallus	De Genst, E., Silence, K., Decanniere, K., Conrath, K., Loris, R., Kinne, J., Muyldermans, S., Wyns, L.	1.63	X-RAY DIFFRACTION	0.22899999999999998	0.209	False	True	IGHV1	NA	NA	1.00e-10	-13.63	SPR	NA	16537393
4qci	H	L	0	C	protein	NA	platelet-derived growth factor subunit b	CYTOKINE/CYTOKINE RECEPTOR	05/12/14	PDGF-B blocking antibody bound to PDGF-BB	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kuai, J., Mosyak, L., Tam, M., LaVallie, E., Pullen, N., Carven, G.	2.3	X-RAY DIFFRACTION	0.247	0.211	False	True	IGHV3	IGLV3	Lambda	2.8e-11	-14.396652282221849	SPR	NA	TBD
4qci	B	A	0	D	protein	NA	platelet-derived growth factor subunit b	CYTOKINE/CYTOKINE RECEPTOR	05/12/14	PDGF-B blocking antibody bound to PDGF-BB	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kuai, J., Mosyak, L., Tam, M., LaVallie, E., Pullen, N., Carven, G.	2.3	X-RAY DIFFRACTION	0.247	0.211	False	True	IGHV3	IGLV3	Lambda	2.8e-11	-14.396652282221849	SPR	NA	TBD
5mi0	B	C	0	A	protein	NA	reticulocyte binding-like protein 5,reticulocyte bindingprotein 5 	IMMUNE SYSTEM	11/27/16	A thermally stabilised version of Plasmodium falciparum RH5	PLASMODIUM FALCIPARUM; MUS MUSCULUS	mus musculus	mus musculus	plasmodium falciparum	Campeotto, I., Goldenzweig, A., Davey, J., Barfod, L., Marshall, J.M., Silk, S.E., Wright, K.E., Draper, S.J., Higgins, M.K., Fleishman, S.J.	2.35	X-RAY DIFFRACTION	0.222	0.17600000000000002	False	True	IGHV5	IGKV3	Kappa	4.0999999999999994e-07	-8.713721871255862	SPR	NA	TBD
5boz	I	NA	0	C	protein	NA	ricin	Hydrolase/Immune system	05/27/15	Ricin A chain bound to camelid nanobody (VHH9)(E1)	LAMA GLAMA; RICINUS COMMUNIS	lama glama	NA	ricinus communis	Rudolph, M.J., Mantis, N.	3.1	X-RAY DIFFRACTION	0.277	0.215	False	True	IGHV1	NA	NA	7e-10	-12.489520888040902	SPR	NA	TBD
5boz	J	NA	0	D	protein	NA	ricin	Hydrolase/Immune system	05/27/15	Ricin A chain bound to camelid nanobody (VHH9)(E1)	LAMA GLAMA; RICINUS COMMUNIS	lama glama	NA	ricinus communis	Rudolph, M.J., Mantis, N.	3.1	X-RAY DIFFRACTION	0.277	0.215	False	True	IGHV1	NA	NA	7e-10	-12.489520888040902	SPR	NA	TBD
5boz	K	NA	0	E	protein	NA	ricin	Hydrolase/Immune system	05/27/15	Ricin A chain bound to camelid nanobody (VHH9)(E1)	LAMA GLAMA; RICINUS COMMUNIS	lama glama	NA	ricinus communis	Rudolph, M.J., Mantis, N.	3.1	X-RAY DIFFRACTION	0.277	0.215	False	True	IGHV1	NA	NA	7e-10	-12.489520888040902	SPR	NA	TBD
5boz	L	NA	0	F	protein	NA	ricin	Hydrolase/Immune system	05/27/15	Ricin A chain bound to camelid nanobody (VHH9)(E1)	LAMA GLAMA; RICINUS COMMUNIS	lama glama	NA	ricinus communis	Rudolph, M.J., Mantis, N.	3.1	X-RAY DIFFRACTION	0.277	0.215	False	True	IGHV1	NA	NA	7e-10	-12.489520888040902	SPR	NA	TBD
5boz	G	NA	0	A	protein	NA	ricin	Hydrolase/Immune system	05/27/15	Ricin A chain bound to camelid nanobody (VHH9)(E1)	LAMA GLAMA; RICINUS COMMUNIS	lama glama	NA	ricinus communis	Rudolph, M.J., Mantis, N.	3.1	X-RAY DIFFRACTION	0.277	0.215	False	True	IGHV1	NA	NA	7e-10	-12.489520888040902	SPR	NA	TBD
5boz	H	NA	0	B	protein	NA	ricin	Hydrolase/Immune system	05/27/15	Ricin A chain bound to camelid nanobody (VHH9)(E1)	LAMA GLAMA; RICINUS COMMUNIS	lama glama	NA	ricinus communis	Rudolph, M.J., Mantis, N.	3.1	X-RAY DIFFRACTION	0.277	0.215	False	True	IGHV1	NA	NA	7e-10	-12.489520888040902	SPR	NA	TBD
5bo1	I	M	0	A	protein	NA	protein jagged-1	Signaling protein/Immune system	05/26/15	Crystal structure of a human Jag1 fragment in complex with an anti-Jag1 Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Payandeh, J., de Leon-Boenig, G.	2.56	X-RAY DIFFRACTION	0.259	0.22	False	True	IGHV3	IGKV1	Kappa	7.900000000000001e-10	-12.41785844031504	SPR	NA	TBD
5bo1	H	L	0	B	protein	NA	protein jagged-1	Signaling protein/Immune system	05/26/15	Crystal structure of a human Jag1 fragment in complex with an anti-Jag1 Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Payandeh, J., de Leon-Boenig, G.	2.56	X-RAY DIFFRACTION	0.259	0.22	False	True	IGHV3	IGKV1	Kappa	7.900000000000001e-10	-12.41785844031504	SPR	NA	TBD
5hys	C	D	0	K	protein	NA	ig epsilon chain c region	IMMUNE SYSTEM	02/01/16	Structure of IgE complexed with omalizumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Pennington, L.F., Tarchevskaya, S.S., Sathiyamoorthy, K., Jardetzky, T.S.	2.5	X-RAY DIFFRACTION	0.239	0.221	False	True	IGHV3	IGKV1	Kappa	3.8899999999999996e-11	-14.201849726854265	SPR	NA	TBD
5hys	A	B	0	G	protein	NA	ig epsilon chain c region	IMMUNE SYSTEM	02/01/16	Structure of IgE complexed with omalizumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Pennington, L.F., Tarchevskaya, S.S., Sathiyamoorthy, K., Jardetzky, T.S.	2.5	X-RAY DIFFRACTION	0.239	0.221	False	True	IGHV3	IGKV1	Kappa	3.8899999999999996e-11	-14.201849726854265	SPR	NA	TBD
5hys	E	F	0	J	protein	NA	ig epsilon chain c region	IMMUNE SYSTEM	02/01/16	Structure of IgE complexed with omalizumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Pennington, L.F., Tarchevskaya, S.S., Sathiyamoorthy, K., Jardetzky, T.S.	2.5	X-RAY DIFFRACTION	0.239	0.221	False	True	IGHV3	IGKV1	Kappa	3.8899999999999996e-11	-14.201849726854265	SPR	NA	TBD
5hys	H	L	0	I	protein	NA	ig epsilon chain c region	IMMUNE SYSTEM	02/01/16	Structure of IgE complexed with omalizumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Pennington, L.F., Tarchevskaya, S.S., Sathiyamoorthy, K., Jardetzky, T.S.	2.5	X-RAY DIFFRACTION	0.239	0.221	False	True	IGHV3	IGKV1	Kappa	3.8899999999999996e-11	-14.201849726854265	SPR	NA	TBD
1ri8	A	NA	0	B	protein	NA	lysozyme c	IMMUNE SYSTEM/HYDROLASE	11/17/03	Crystal Structure of the Camelid Single Domain Antibody 1D2L19 in complex with Hen Egg White Lysozyme	CAMELUS DROMEDARIUS; GALLUS GALLUS	camelus dromedarius	NA	gallus gallus	De Genst, E., Silence, K., Ghahroudi, M.A., Decanniere, K., Loris, R., Kinne, J., Wyns, L., Muyldermans, S.	1.85	X-RAY DIFFRACTION	0.196	0.17300000000000001	False	True	IGHV1	NA	NA	2.90e-09	-11.64	SPR	NA	15659390
