,importance,feature
145,0.005,L1_aromatic_hydrophobic
53,0.005,L3-10-A
179,0.005,L2_hydrophobic_charged
8,0.005,interface_num_res
50,0.005,None
72,0.005,H1_charged_polar
74,0.005,H1_charged_charged
196,0.005,L3_aromatic_special
62,0.004,H1_polar_polar
124,0.004,H3_charged_charged
51,0.004,
68,0.004,H1_aromatic_aromatic
141,0.004,L1_polar_special
155,0.004,L1_hydrophobic_hydrophobic
76,0.004,H1_charged_special
79,0.004,H1_hydrophobic_charged
77,0.004,H1_hydrophobic_polar
36,0.004,L1-11-A
139,0.004,L1_polar_charged
95,0.004,H2_aromatic_hydrophobic
46,0.004,"L1-16,17-A"
169,0.004,L2_aromatic_charged
78,0.004,H1_hydrophobic_aromatic
158,0.004,L1_special_aromatic
3,0.004,interaction_total_energy
9,0.004,h1_interaction_energy
91,0.004,H2_polar_special
48,0.004,
117,0.004,H3_aromatic_polar
102,0.003,H2_hydrophobic_polar
81,0.003,H1_hydrophobic_special
49,0.003,L2-8-A
161,0.003,L1_special_special
47,0.003,None
39,0.003,L1-12-B
174,0.003,L2_charged_charged
37,0.003,L1-11-B
32,0.003,H2-12-A
90,0.003,H2_polar_hydrophobic
33,0.003,H2-9-A
38,0.003,L1-12-A
82,0.003,H1_special_polar
177,0.003,L2_hydrophobic_polar
162,0.003,L2_polar_polar
96,0.003,H2_aromatic_special
35,0.003,L1-10-A
83,0.003,H1_special_aromatic
43,0.003,L1-14-B
80,0.003,H1_hydrophobic_hydrophobic
34,0.003,None
44,0.003,L1-14-C
147,0.003,L1_charged_polar
118,0.003,H3_aromatic_aromatic
41,0.003,L1-13-B
188,0.003,L3_polar_aromatic
45,0.003,L1-15-A
86,0.002,H1_special_special
192,0.002,L3_aromatic_polar
112,0.002,H3_polar_polar
194,0.002,L3_aromatic_charged
85,0.002,H1_special_hydrophobic
84,0.002,H1_special_charged
92,0.002,H2_aromatic_polar
195,0.002,L3_aromatic_hydrophobic
42,0.002,L1-14-A
178,0.002,L2_hydrophobic_aromatic
87,0.002,H2_polar_polar
97,0.002,H2_charged_polar
150,0.002,L1_charged_hydrophobic
100,0.002,H2_charged_hydrophobic
171,0.002,L2_aromatic_special
160,0.002,L1_special_hydrophobic
40,0.002,L1-13-A
121,0.002,H3_aromatic_special
103,0.002,H2_hydrophobic_aromatic
88,0.002,H2_polar_aromatic
98,0.002,H2_charged_aromatic
190,0.002,L3_polar_hydrophobic
10,0.002,h2_interaction_energy
115,0.002,H3_polar_hydrophobic
94,0.002,H2_aromatic_charged
31,0.002,H2-10-B
111,0.002,H2_special_special
30,0.002,H2-10-A
109,0.002,H2_special_charged
116,0.002,H3_polar_special
199,0.001,L3_charged_charged
105,0.001,H2_hydrophobic_hydrophobic
89,0.001,H2_polar_charged
108,0.001,H2_special_aromatic
29,0.001,None
99,0.001,H2_charged_charged
11,0.001,h3_interaction_energy
93,0.001,H2_aromatic_aromatic
119,0.001,H3_aromatic_charged
104,0.001,H2_hydrophobic_charged
113,0.001,H3_polar_aromatic
28,0.001,H1-15-C
106,0.001,H2_hydrophobic_special
27,0.001,H1-15-B
110,0.001,H2_special_hydrophobic
26,0.001,H1-15-A
13,0.001,l2_interaction_energy
12,0.001,l1_interaction_energy
114,0.0,H3_polar_charged
25,0.0,H1-14-A
16,0.0,L2_length
18,0.0,H1_length
24,0.0,H1-13-D
14,0.0,l3_interaction_energy
22,0.0,H1-13-B
15,0.0,L1_length
23,0.0,H1-13-C
17,0.0,L3_length
20,0.0,H3_length
19,0.0,H2_length
21,0.0,H1-13-A
